Session 01 (Arthur MM) | Player: Serane | Action: gate_check | Total: 7 -> partial_success
Session 01 (Arthur MM) | Player: Pello | Action: gate_check | Total: 7 -> partial_success
Session 01 (Arthur MM) | Player: Dassa | Action: gate_check | Total: 7 -> partial_success
Session 01 (Arthur MM) | Player: Ilesse | Action: gate_check | Total: 7 -> partial_success
Session 02 (Arthur MM) | Player: Serane | Action: social_check | Total: 6 -> failure
Session 02 (Arthur MM) | Player: Pello | Action: social_check | Total: 6 -> failure
Session 02 (Arthur MM) | Player: Dassa | Action: social_check | Total: 6 -> failure
Session 02 (Arthur MM) | Player: Ilesse | Action: social_check | Total: 6 -> failure
Session 03 (Arthur MM) | Player: Serane | Action: summons_check | Total: 7 -> partial_success
Session 03 (Arthur MM) | Player: Pello | Action: summons_check | Total: 7 -> partial_success
Session 03 (Arthur MM) | Player: Dassa | Action: summons_check | Total: 7 -> partial_success
Session 03 (Arthur MM) | Player: Ilesse | Action: summons_check | Total: 7 -> partial_success
Session 04 (Arthur MM) | Player: Pello | Action: strike | Total: 11 -> full_success
Session 04 (Arthur MM) | Player: Dassa | Action: strike | Total: 11 -> full_success
Session 04 (Arthur MM) | Player: Pello | Action: dodge_or_parry | Total: 13 -> full_success
Session 04 (Arthur MM) | Player: Dassa | Action: dodge_or_parry | Total: 13 -> full_success
Session 05 (Arthur MM) | Player: Serane | Action: cast_warding | Total: 11 -> full_success
Session 05 (Arthur MM) | Player: Ilesse | Action: cast_resonance | Total: 11 -> full_success
Session 06 (Cyrus MM) | Player: Serane | Action: gate_check | Total: 10 -> full_success
Session 06 (Cyrus MM) | Player: Pello | Action: gate_check | Total: 10 -> full_success
Session 06 (Cyrus MM) | Player: Dassa | Action: gate_check | Total: 10 -> full_success
Session 06 (Cyrus MM) | Player: Ilesse | Action: gate_check | Total: 10 -> full_success
Session 07 (Cyrus MM) | Player: Serane | Action: social_check | Total: 8 -> partial_success
Session 07 (Cyrus MM) | Player: Pello | Action: social_check | Total: 8 -> partial_success
Session 07 (Cyrus MM) | Player: Dassa | Action: social_check | Total: 8 -> partial_success
Session 07 (Cyrus MM) | Player: Ilesse | Action: social_check | Total: 8 -> partial_success
Session 08 (Cyrus MM) | Player: Serane | Action: summons_check | Total: 11 -> full_success
Session 08 (Cyrus MM) | Player: Pello | Action: summons_check | Total: 11 -> full_success
Session 08 (Cyrus MM) | Player: Dassa | Action: summons_check | Total: 11 -> full_success
Session 08 (Cyrus MM) | Player: Ilesse | Action: summons_check | Total: 11 -> full_success
Session 09 (Cyrus MM) | Player: Pello | Action: strike | Total: 8 -> partial_success
Session 09 (Cyrus MM) | Player: Dassa | Action: strike | Total: 8 -> partial_success
Session 09 (Cyrus MM) | Player: Pello | Action: dodge_or_parry | Total: 6 -> failure
Session 09 (Cyrus MM) | Player: Dassa | Action: dodge_or_parry | Total: 6 -> failure
Session 10 (Cyrus MM) | Player: Serane | Action: cast_warding | Total: 12 -> full_success
Session 10 (Cyrus MM) | Player: Ilesse | Action: cast_resonance | Total: 12 -> full_success
Session 11 (Arthur MM) | Player: Serane | Action: stealth_networking | Total: 10 -> full_success
Session 11 (Arthur MM) | Player: Pello | Action: stealth_networking | Total: 10 -> full_success
Session 11 (Arthur MM) | Player: Dassa | Action: stealth_networking | Total: 10 -> full_success
